is_weekend,hour_of_day,avg_steps,avg_calories
False,0,32.78260869565217,70.76231884057971
False,1,18.66521739130435,69.26086956521739
False,2,12.031884057971014,68.36811594202898
False,3,6.1753623188405795,67.45652173913044
False,4,14.409288824383164,68.4833091436865
False,5,54.574746008708274,86.6066763425254
False,6,219.53924418604652,91.96947674418605
False,7,349.2325581395349,97.99854651162791
False,8,449.42151162790697,105.04941860465117
False,9,423.5843023255814,104.68023255813954
False,10,461.391557496361,108.17758369723435
False,11,431.0204379562044,107.0978102189781
False,12,543.7294117647059,115.67941176470588
False,13,501.60088365243007,109.6082474226804
False,14,505.680412371134,112.02650957290133
False,15,367.3997028231798,103.50965824665676
False,16,519.0705705705706,115.33783783783784
False,17,567.7112781954887,125.60902255639098
False,18,640.2977443609022,126.32781954887218
False,19,602.4406015037594,123.24962406015038
False,20,363.17744360902253,103.54436090225563
False,21,309.02560240963857,95.86746987951807
False,22,238.31674208144796,88.83107088989442
False,23,123.25075528700906,77.70996978851964
True,0,68.78688524590164,74.75409836065573
True,1,35.7037037037037,72.73251028806584
True,2,31.530864197530864,71.51028806584362
True,3,7.139917695473251,67.76954732510288
True,4,7.851851851851852,67.63374485596708
True,5,13.51440329218107,67.81893004115226
True,6,62.33744855967078,72.91769547325103
True,7,183.78600823045267,84.51028806584362
True,8,365.60493827160496,98.48971193415638
True,9,460.81481481481484,110.28395061728395
True,10,539.2190082644628,116.94214876033058
True,11,530.103305785124,117.47520661157024
True,12,562.4462809917355,121.46280991735537
True,13,638.9793388429752,131.30578512396696
True,14,638.2479338842975,126.13223140495867
True,15,514.5537190082645,115.33471074380165
True,16,435.4273858921162,107.77178423236515
True,17,502.00414937759336,114.87136929460581
True,18,485.6846473029046,115.66804979253112
True,19,530.8257261410788,116.61410788381743
True,20,328.3195020746888,99.08298755186722
True,21,305.6929460580913,96.57676348547717
True,22,237.08298755186723,86.70954356846472
True,23,119.06224066390041,77.27385892116183
