device_usage_days,device_usage_rate_pct,usage_frequency_tier
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
31,100.0,Near-daily use (28-31 days)
30,96.8,Near-daily use (28-31 days)
30,96.8,Near-daily use (28-31 days)
30,96.8,Near-daily use (28-31 days)
29,93.5,Near-daily use (28-31 days)
29,93.5,Near-daily use (28-31 days)
28,90.3,Near-daily use (28-31 days)
26,83.9,High use (21-27 days)
26,83.9,High use (21-27 days)
20,64.5,Moderate use (11-20 days)
19,61.3,Moderate use (11-20 days)
18,58.1,Moderate use (11-20 days)
4,12.9,Low use (<=10 days)
