is_weekend,hour_of_day,avg_steps,avg_calories
0,0,32.8,70.8
0,1,18.7,69.3
0,2,12.0,68.4
0,3,6.2,67.5
0,4,14.4,68.5
0,5,54.6,86.6
0,6,219.5,92.0
0,7,349.2,98.0
0,8,449.4,105.0
0,9,423.6,104.7
0,10,461.4,108.2
0,11,431.0,107.1
0,12,543.7,115.7
0,13,501.6,109.6
0,14,505.7,112.0
0,15,367.4,103.5
0,16,519.1,115.3
0,17,567.7,125.6
0,18,640.3,126.3
0,19,602.4,123.2
0,20,363.2,103.5
0,21,309.0,95.9
0,22,238.3,88.8
0,23,123.3,77.7
1,0,68.8,74.8
1,1,35.7,72.7
1,2,31.5,71.5
1,3,7.1,67.8
1,4,7.9,67.6
1,5,13.5,67.8
1,6,62.3,72.9
1,7,183.8,84.5
1,8,365.6,98.5
1,9,460.8,110.3
1,10,539.2,116.9
1,11,530.1,117.5
1,12,562.4,121.5
1,13,639.0,131.3
1,14,638.2,126.1
1,15,514.6,115.3
1,16,435.4,107.8
1,17,502.0,114.9
1,18,485.7,115.7
1,19,530.8,116.6
1,20,328.3,99.1
1,21,305.7,96.6
1,22,237.1,86.7
1,23,119.1,77.3
